Date,Quarter,Receipts,Expenditures,Debt,Population,GDPD,GDP,GDP_pct
1/1/66,Q1 1966,131.961,136.056,320999,195763,18.046,795.734,0.40339988
4/1/66,Q2 1966,136.737,142.395,316097,196277,18.193,804.981,0.392676349
7/1/66,Q3 1966,139.097,146.957,324748,196877,18.369,819.638,0.396209058
10/1/66,Q4 1966,141.754,152.091,329319,197481,18.523,833.302,0.395197659
1/1/67,Q1 1967,142.613,161.919,330947,197967,18.6,844.17,0.392038334
4/1/67,Q2 1967,143.666,164.163,322893,198455,18.695,848.983,0.38032917
7/1/67,Q3 1967,147.219,166.058,335896,199012,18.874,865.233,0.388214504
10/1/67,Q4 1967,151.53,170.992,344663,199572,19.084,881.439,0.391023088
1/1/68,Q1 1968,160.283,177.285,349473,199995,19.295,909.387,0.384295135
4/1/68,Q2 1968,165.013,183.665,345369,200452,19.499,934.344,0.369637949
7/1/68,Q3 1968,176.139,186.229,354743,200997,19.69,950.825,0.373089685
10/1/68,Q4 1968,180.877,190.202,358029,201538,19.968,968.03,0.369853207
1/1/69,Q1 1969,190.311,188.097,359546,201955,20.174,993.337,0.361957724
4/1/69,Q2 1969,193.411,194.972,352895,202419,20.431,1009.02,0.349740342
7/1/69,Q3 1969,191.114,199.772,360685,202986,20.718,1029.956,0.350194571
10/1/69,Q4 1969,192.503,205.097,368226,203584,20.985,1038.147,0.354695433
1/1/70,Q1 1970,186.404,208.693,372007,204086,21.28,1051.2,0.353887938
4/1/70,Q2 1970,187.428,220.11,370094,204721,21.577,1067.375,0.346732873
7/1/70,Q3 1970,183.818,223.37,378678,205419,21.754,1086.059,0.348671665
10/1/70,Q4 1970,182.86,227.603,389158,206130,22.042,1088.608,0.357482216
1/1/71,Q1 1971,187.534,233.12,391668,206763,22.376,1135.156,0.345034515
4/1/71,Q2 1971,190.401,242.896,397305,207362,22.67,1156.271,0.343608894
7/1/71,Q3 1971,190.828,242.609,412268,208000,22.901,1177.675,0.350069416
10/1/71,Q4 1971,194.062,247.782,424131,208642,23.092,1190.297,0.356323674
1/1/72,Q1 1972,213.089,258.846,427344,209142,23.443,1230.609,0.347262209
4/1/72,Q2 1972,216.471,267.56,426435,209637,23.589,1266.369,0.336738344
7/1/72,Q3 1972,219.399,260.264,433946,210181,23.815,1290.566,0.336244717
10/1/72,Q4 1972,227.075,285.409,448473,210737,24.118,1328.904,0.337475845
1/1/73,Q1 1973,242.522,283.042,458606,211192,24.396,1377.49,0.332928733
4/1/73,Q2 1973,246.522,287.36,457317,211663,24.771,1413.887,0.32344664
7/1/73,Q3 1973,249.57,286.911,460614,212191,25.254,1433.838,0.321245496
10/1/73,Q4 1973,258.372,292.909,469073,212708,25.757,1476.289,0.317737923
1/1/74,Q1 1974,265.946,302.072,473675,213144,26.243,1491.209,0.317644944
4/1/74,Q2 1974,276.413,314.483,474235,213602,26.863,1530.056,0.309946172
7/1/74,Q3 1974,287.468,324.454,481466,214147,27.65,1560.026,0.308626908
