geo,Name,State,Value,Percent
1001,Autauga,Alabama,228.7077057,NA
1003,Baldwin,Alabama,145.2394812,0.033117243
1005,Barbour,Alabama,105.7553661,NA
1007,Bibb,Alabama,219.6624802,NA
1009,Blount,Alabama,179.8185574,1.803562035
1011,Bullock,Alabama,96.75271498,NA
1013,Butler,Alabama,110.7055585,0.033141847
1015,Calhoun,Alabama,123.6342506,NA
1017,Chambers,Alabama,186.0969303,NA
1019,Cherokee,Alabama,153.9227777,0.126139763
1021,Chilton,Alabama,138.8555143,NA
1023,Choctaw,Alabama,202.4784438,NA
1025,Clarke,Alabama,65.57215639,NA
1027,Clay,Alabama,90.0060326,0.017140898
1029,Cleburne,Alabama,133.3252839,0.037731103
1031,Coffee,Alabama,232.9105974,NA
1033,Colbert,Alabama,102.8411648,NA
1035,Conecuh,Alabama,193.6054319,NA
1037,Coosa,Alabama,146.9457909,NA
1039,Covington,Alabama,71.27230331,NA
1041,Crenshaw,Alabama,76.20686305,NA
1043,Cullman,Alabama,104.5118488,NA
1045,Dale,Alabama,152.253342,NA
1047,Dallas,Alabama,61.8683694,NA
1049,De Kalb,Alabama,135.584204,NA
1051,Elmore,Alabama,141.7842124,0.022117043
1053,Escambia,Alabama,177.8150866,0.123483303
1055,Etowah,Alabama,47.67473927,0.45268328
1057,Fayette,Alabama,138.077841,NA
1059,Franklin,Alabama,142.3575611,NA
1061,Geneva,Alabama,102.5052609,NA
1063,Greene,Alabama,133.8115181,NA
1065,Hale,Alabama,222.0058726,NA
1067,Henry,Alabama,108.2292338,NA
1069,Houston,Alabama,44.54826493,NA
1071,Jackson,Alabama,210.3135683,0.005319149
1073,Jefferson,Alabama,64.10825493,NA
1075,Lamar,Alabama,85.53292584,NA
1077,Lauderdale,Alabama,140.719082,0.005159027
1079,Lawrence,Alabama,170.7409679,NA
1081,Lee,Alabama,145.7239496,NA
1083,Limestone,Alabama,203.1023606,NA
1085,Lowndes,Alabama,99.98276574,NA
1087,Macon,Alabama,167.897944,NA
1089,Madison,Alabama,92.10119547,0.020053709
